       1       3   -2.034413273   -5.774167075
       1       4   -0.838086969   -4.392657475
       1       5   -0.302526088   -3.794820690
       1       6   12.778868911   15.005395729
       1       7   15.599051518   18.045739337
       1       8   18.465280497   20.953385560
       1       9   19.275941053   21.998911720
       1      10   23.715689878   26.147981727
       1      11   32.536889726   35.187076169
       1      12   33.251487809   35.840079981
  0.500000000  0.000000000  0.500000000      12
       1       1  -39.338882540  -49.491404745
       1       2  -18.478966621  -24.286717680
       1       3   -2.676757921   -6.467641837
       1       4   -0.670379197   -4.223933542
       1       5   -0.670376526   -4.223930872
       1       6   14.561073265   17.234588735
       1       7   16.317733154   18.154032994
       1       8   17.234826842   19.506045061
       1       9   19.860948297   22.785455408
       1      10   19.860949869   22.785456981
       1      11   32.944727913   35.615866897
       1      12   37.921072663   40.745631161
  0.500000000 -0.000000000  0.750000000      12
       1       1  -39.347067592  -49.507673524
       1       2  -18.615643783  -24.445619213
       1       3   -2.034413273   -5.776059607
       1       4   -0.838086969   -4.397152627
       1       5   -0.302526089   -3.796562923
       1       6   12.778868911   15.014381296
       1       7   15.599051518   18.045318375
       1       8   18.465280497   20.955522954
       1       9   19.275941053   22.003725446
       1      10   23.715689878   26.146135991
       1      11   32.536889726   35.188356890
       1      12   33.251487809   35.838091335
  0.500000000  0.250000000 -0.000000000      12
       1       1  -39.347067593  -49.508156369
       1       2  -18.615643791  -24.448548276
       1       3   -2.034412021   -5.774166639
       1       4   -0.838086014   -4.392583419
       1       5   -0.302528571   -3.794923993
       1       6   12.778869170   15.005521505
       1       7   15.599051267   18.045844595
       1       8   18.465281392   20.953257961
       1       9   19.275940400   21.998718867
       1      10   23.715690090   26.148008984
       1      11   32.536889958   35.187045795
       1      12   33.251486008   35.840184612
  0.500000000  0.250000000  0.250000000      12
       1       1  -39.356067379  -49.495770048
       1       2  -18.720680000  -24.562546575
       1       3   -1.523838361   -5.206768409
       1       4   -1.002494858   -4.576881571
       1       5    0.077239855   -3.351081003
       1       6   11.913848247   14.064637799
       1       7   15.558624865   17.945142313
       1       8   19.166568117   21.777008097
       1       9   19.170775262   21.808713861
       1      10   28.615372377   30.875931488
       1      11   28.654243812   31.289904694
       1      12   28.701959713   31.126445374
  0.500000000  0.250000000  0.500000000      12
       1       1  -39.347067594  -49.508311983
       1       2  -18.615643751  -24.446329140
       1       3   -2.034414391   -5.772414689
       1       4   -0.838085604   -4.392819196
       1       5   -0.302526386   -3.795734804
       1       6   12.778869915   15.011342109
       1       7   15.599050573   18.040059879
       1       8   18.465280287   20.948562846
       1       9   19.275941108   22.005166139
       1      10   23.715690196   26.148024568
       1      11   32.536889522   35.189535724
       1      12   33.251486147   35.838412137
  0.500000000  0.250000000  0.750000000      12
       1       1  -39.338280465  -49.505211424
       1       2  -18.506880376  -24.334859472
       1       3   -1.749282390   -5.426888796
       1       4   -1.749278564   -5.426884971
       1       5   -0.466696384   -4.004935090
       1       6   14.821955265   17.294937246
       1       7   14.821957630   17.294939612
       1       8   17.158726792   19.615116294
       1       9   18.982836423   21.556253310
       1      10   27.071662323   29.580375206
       1      11   27.071663256   29.580376139
       1      12   33.601351256   36.362054882
  0.500000000  0.500000000  0.000000000      12
       1       1  -39.338882543  -49.491455282
       1       2  -18.478966640  -24.286308973
       1       3   -2.676755395   -6.467601073
       1       4   -0.670380176   -4.223988470
       1       5   -0.670378600   -4.223986893
       1       6   14.561074446   17.234750596
       1       7   16.317733425   18.153927510
       1       8   17.234826992   19.506028166
       1       9   19.860947724   22.785386982
       1      10   19.860948563   22.785387821
       1      11   32.944731527   35.615967853
       1      12   37.921069011   40.745262059
  0.500000000  0.500000000  0.250000000      12
       1       1  -39.347067596  -49.508596451
       1       2  -18.615643759  -24.445050194
       1       3   -2.034412201   -5.772337213
       1       4   -0.838087546   -4.392905809
       1       5   -0.302526964   -3.795753060
       1       6   12.778870377   15.011486931
       1       7   15.599051227   18.040044881
       1       8   18.465280776   20.948561223
       1       9   19.275939433   22.004979854
       1      10   23.715689834   26.148131813
       1      11   32.536890466   35.189537980
       1      12   33.251486336   35.838082019
  0.500000000  0.500000000  0.500000000      12
       1       1  -39.355087713  -49.565941763
       1       2  -18.747111589  -24.586075253
       1       3   -2.172934702   -5.987281691
       1       4    0.094872757   -3.336206644
       1       5    0.094874457   -3.336204944
       1       6   10.627234117   12.580006342
       1       7   16.470242089   19.155785277
       1       8   18.619327898   21.124809750
       1       9   18.619331558   21.124813410
       1      10   30.059405912   32.440599820
       1      11   30.557350290   33.214115569
       1      12   30.557352725   33.214118005
  0.500000000  0.500000000  0.750000000      12
       1       1  -39.347067596  -49.507862653
       1       2  -18.615643759  -24.445175726
       1       3   -2.034412200   -5.775097281
       1       4   -0.838087546   -4.397184127
       1       5   -0.302526964   -3.794654218
       1       6   12.778870377   15.007430640
       1       7   15.599051227   18.049992884
       1       8   18.465280777   20.961258429
       1       9   19.275939433   21.996756622
       1      10   23.715689834   26.146459383
       1      11   32.536890468   35.185362336
       1      12   33.251486336   35.840745227
  0.500000000  0.750000000  0.000000000      12
       1       1  -39.347067593  -49.507875623
       1       2  -18.615643791  -24.446659044
       1       3   -2.034412021   -5.776097614
       1       4   -0.838086014   -4.397069531
       1       5   -0.302528571   -3.796647922
       1       6   12.778869170   15.014332874
       1       7   15.599051267   18.045330194
       1       8   18.465281392   20.955555226
       1       9   19.275940401   22.003755283
       1      10   23.715690090   26.145893551
       1      11   32.536889956   35.188493613
       1      12   33.251486008   35.838265601
  0.500000000  0.750000000  0.250000000      12
       1       1  -39.338280465  -49.501471307
       1       2  -18.506880376  -24.334760236
       1       3   -1.749282390   -5.426888079
       1       4   -1.749278564   -5.426884253
       1       5   -0.466696384   -4.004930964
       1       6   14.821955265   17.294936563
       1       7   14.821957630   17.294938928
       1       8   17.158726791   19.615108534
       1       9   18.982836422   21.556255116
       1      10   27.071662323   29.580369196
       1      11   27.071663256   29.580370129
       1      12   33.601351257   36.361849102
  0.500000000  0.750000000  0.500000000      12
       1       1  -39.347067594  -49.508104041
       1       2  -18.615643751  -24.445721621
       1       3   -2.034414391   -5.775135814
       1       4   -0.838085604   -4.397099076
       1       5   -0.302526386   -3.794650802
       1       6   12.778869915   15.007458140
       1       7   15.599050573   18.050102467
       1       8   18.465280287   20.961097107
       1       9   19.275941108   21.996715753
       1      10   23.715690196   26.146616096
       1      11   32.536889522   35.185316523
       1      12   33.251486147   35.841012461
  0.500000000  0.750000000  0.750000000      12
       1       1  -39.356067379  -49.496071832
       1       2  -18.720680000  -24.563433560
       1       3   -1.523838361   -5.211683779
       1       4   -1.002494858   -4.584138608
       1       5    0.077239855   -3.352931930
       1       6   11.913848247   14.068014357
       1       7   15.558624865   17.960985415
       1       8   19.166568118   21.784002445
       1       9   19.170775262   21.805427794
       1      10   28.615372377   30.878434988
       1      11   28.654243812   31.290478120
       1      12   28.701959713   31.121279930
